         time bulge_top_... 
 2.507077e-01  1.204128e-02 
 2.511115e-01  1.295532e-02 
 2.515153e-01  1.333689e-02 
 2.519192e-01  1.265861e-02 
 2.523230e-01  1.124614e-02 
 2.527269e-01  9.472689e-03 
 2.531307e-01  7.656390e-03 
 2.535346e-01  5.828196e-03 
 2.539384e-01  4.307913e-03 
 2.543423e-01  3.172298e-03 
 2.547461e-01  1.944146e-03 
 2.551500e-01  8.420758e-04 
 2.555538e-01  2.365001e-05 
 2.559577e-01 -9.818891e-04 
 2.563615e-01 -1.748242e-03 
 2.567653e-01 -1.675536e-03 
 2.571692e-01 -7.992276e-04 
 2.575730e-01  9.789331e-04 
 2.579769e-01  3.327297e-03 
 2.583807e-01  5.980213e-03 
 2.587846e-01  8.666531e-03 
 2.591884e-01  1.084655e-02 
 2.595923e-01  1.201491e-02 
 2.599961e-01  1.217342e-02 
 2.604000e-01  1.172237e-02 
 2.608038e-01  1.102650e-02 
 2.612076e-01  9.856097e-03 
 2.616115e-01  8.714847e-03 
 2.620153e-01  7.845348e-03 
 2.624192e-01  6.773369e-03 
 2.628230e-01  6.612095e-03 
 2.632269e-01  6.854004e-03 
 2.636307e-01  8.104927e-03 
 2.640346e-01  9.932156e-03 
 2.644384e-01  1.263999e-02 
 2.648423e-01  1.570105e-02 
 2.652461e-01  1.942651e-02 
 2.656500e-01  2.244787e-02 
 2.660538e-01  2.482254e-02 
 2.664576e-01  2.587560e-02 
 2.668615e-01  2.617479e-02 
 2.672653e-01  2.584570e-02 
 2.676692e-01  2.526921e-02 
 2.680730e-01  2.482906e-02 
 2.684769e-01  2.452900e-02 
 2.688807e-01  2.424723e-02 
 2.692846e-01  2.371196e-02 
 2.696884e-01  2.289108e-02 
 2.700923e-01  2.205696e-02 
 2.704961e-01  2.164344e-02 
 2.709000e-01  2.226617e-02 
 2.713038e-01  2.398999e-02 
 2.717076e-01  2.657243e-02 
 2.721115e-01  3.009243e-02 
 2.725153e-01  3.352053e-02 
 2.729192e-01  3.656492e-02 
 2.733230e-01  3.900963e-02 
 2.737269e-01  4.022721e-02 
 2.741307e-01  4.041718e-02 
 2.745346e-01  4.006049e-02 
 2.749384e-01  3.967360e-02 
 2.753423e-01  3.930991e-02 
 2.757461e-01  3.897747e-02 
 2.761500e-01  3.830115e-02 
 2.765538e-01  3.815971e-02 
 2.769576e-01  3.823780e-02 
 2.773615e-01  3.852172e-02 
 2.777653e-01  3.934848e-02 
 2.781692e-01  4.067090e-02 
 2.785730e-01  4.199861e-02 
 2.789769e-01  4.280599e-02 
 2.793807e-01  4.283487e-02 
 2.797846e-01  4.180094e-02 
 2.801884e-01  4.004087e-02 
 2.805923e-01  3.721109e-02 
 2.809961e-01  3.474070e-02 
 2.814000e-01  3.369340e-02 
 2.818038e-01  3.288395e-02 
 2.822076e-01  3.296384e-02 
 2.826115e-01  3.304282e-02 
 2.830153e-01  3.295410e-02 
 2.834192e-01  3.216718e-02 
 2.838230e-01  3.074236e-02 
 2.842269e-01  2.855620e-02 
 2.846307e-01  2.604156e-02 
 2.850346e-01  2.356398e-02 
 2.854384e-01  2.193026e-02 
 2.858423e-01  2.169140e-02 
 2.862461e-01  2.301638e-02 
 2.866500e-01  2.499859e-02 
 2.870538e-01  2.717610e-02 
 2.874576e-01  2.916555e-02 
 2.878615e-01  3.025921e-02 
 2.882653e-01  3.007829e-02 
 2.886692e-01  2.814846e-02 
 2.890730e-01  2.477921e-02 
 2.894769e-01  2.024221e-02 
 2.898807e-01  1.566444e-02 
 2.902846e-01  1.130653e-02 
 2.906884e-01  7.698494e-03 
 2.910923e-01  5.043939e-03 
 2.914961e-01  3.152398e-03 
 2.919000e-01  2.391285e-03 
 2.923038e-01  2.534121e-03 
 2.927076e-01  3.489495e-03 
 2.931115e-01  4.787902e-03 
 2.935153e-01  5.941815e-03 
 2.939192e-01  6.875724e-03 
 2.943230e-01  7.317002e-03 
 2.947269e-01  7.333121e-03 
 2.951307e-01  7.180257e-03 
 2.955346e-01  6.610503e-03 
 2.959384e-01  6.062886e-03 
 2.963423e-01  5.181771e-03 
 2.967461e-01  3.650034e-03 
 2.971500e-01  1.496781e-03 
 2.975538e-01 -7.106548e-04 
 2.979576e-01 -2.739823e-03 
 2.983615e-01 -4.695422e-03 
 2.987653e-01 -5.737265e-03 
 2.991692e-01 -5.917452e-03 
 2.995730e-01 -5.066713e-03 
 2.999769e-01 -3.672716e-03 
 3.003807e-01 -2.046334e-03 
 3.007846e-01 -4.686117e-04 
 3.011884e-01  8.462455e-04 
 3.015923e-01  1.721283e-03 
 3.019961e-01  2.553382e-03 
 3.024000e-01  3.896351e-03 
 3.028038e-01  4.914565e-03 
 3.032076e-01  5.243519e-03 
 3.036115e-01  5.065054e-03 
 3.040153e-01  4.654287e-03 
 3.044192e-01  3.793792e-03 
 3.048230e-01  2.867747e-03 
