         time Record_Dis... 
 2.376634e-01 -2.186531e-03 
 2.380673e-01 -2.187602e-03 
 2.384711e-01 -2.188688e-03 
 2.388750e-01 -2.189798e-03 
 2.392788e-01 -2.190944e-03 
 2.396827e-01 -2.192138e-03 
 2.400865e-01 -2.193395e-03 
 2.404903e-01 -2.194729e-03 
 2.408942e-01 -2.196156e-03 
 2.412980e-01 -2.197691e-03 
 2.417019e-01 -2.199349e-03 
 2.421057e-01 -2.201145e-03 
 2.425096e-01 -2.203090e-03 
 2.429134e-01 -2.205195e-03 
 2.433173e-01 -2.207470e-03 
 2.437211e-01 -2.209921e-03 
 2.441250e-01 -2.212553e-03 
 2.445288e-01 -2.215367e-03 
 2.449327e-01 -2.218363e-03 
 2.453365e-01 -2.221537e-03 
 2.457403e-01 -2.224886e-03 
 2.461442e-01 -2.228401e-03 
 2.465480e-01 -2.232073e-03 
 2.469519e-01 -2.235887e-03 
 2.473557e-01 -2.239829e-03 
 2.477596e-01 -2.243882e-03 
 2.481634e-01 -2.248026e-03 
 2.485673e-01 -2.252243e-03 
 2.489711e-01 -2.256514e-03 
 2.493750e-01 -2.260818e-03 
 2.497788e-01 -2.265137e-03 
 2.501827e-01 -2.269453e-03 
 2.505865e-01 -2.273750e-03 
 2.509903e-01 -2.278011e-03 
 2.513942e-01 -2.282222e-03 
 2.517980e-01 -2.286372e-03 
 2.522019e-01 -2.290449e-03 
 2.526057e-01 -2.294446e-03 
 2.530096e-01 -2.298356e-03 
 2.534134e-01 -2.302177e-03 
 2.538173e-01 -2.305906e-03 
 2.542211e-01 -2.309546e-03 
 2.546250e-01 -2.313099e-03 
 2.550288e-01 -2.316571e-03 
 2.554327e-01 -2.319970e-03 
 2.558365e-01 -2.323303e-03 
 2.562403e-01 -2.326581e-03 
 2.566442e-01 -2.329813e-03 
 2.570480e-01 -2.333011e-03 
 2.574519e-01 -2.336186e-03 
 2.578557e-01 -2.339347e-03 
 2.582596e-01 -2.342507e-03 
 2.586634e-01 -2.345677e-03 
 2.590673e-01 -2.348869e-03 
 2.594711e-01 -2.352092e-03 
 2.598750e-01 -2.355357e-03 
 2.602788e-01 -2.358673e-03 
 2.606826e-01 -2.362047e-03 
 2.610865e-01 -2.365486e-03 
 2.614903e-01 -2.368993e-03 
 2.618942e-01 -2.372571e-03 
 2.622980e-01 -2.376220e-03 
 2.627019e-01 -2.379940e-03 
 2.631057e-01 -2.383728e-03 
 2.635096e-01 -2.387581e-03 
 2.639134e-01 -2.391492e-03 
 2.643173e-01 -2.395455e-03 
 2.647211e-01 -2.399460e-03 
 2.651250e-01 -2.403497e-03 
 2.655288e-01 -2.407555e-03 
 2.659326e-01 -2.411618e-03 
