         time Mid_Disp()... 
 2.201981e-01 -4.762758e-04 
 2.205162e-01 -4.659059e-04 
 2.208342e-01 -4.552055e-04 
 2.211523e-01 -4.441802e-04 
 2.214704e-01 -4.328326e-04 
 2.217884e-01 -4.211630e-04 
 2.221065e-01 -4.091703e-04 
 2.224246e-01 -3.968562e-04 
 2.227426e-01 -3.842306e-04 
 2.230607e-01 -3.713069e-04 
 2.233788e-01 -3.580892e-04 
 2.236968e-01 -3.445788e-04 
 2.240149e-01 -3.307788e-04 
 2.243330e-01 -3.166920e-04 
 2.246510e-01 -3.023244e-04 
 2.249691e-01 -2.876869e-04 
 2.252872e-01 -2.727863e-04 
 2.256052e-01 -2.576202e-04 
 2.259233e-01 -2.421892e-04 
 2.262414e-01 -2.264991e-04 
 2.265594e-01 -2.105614e-04 
 2.268775e-01 -1.943932e-04 
 2.271956e-01 -1.780059e-04 
 2.275136e-01 -1.614071e-04 
 2.278317e-01 -1.446000e-04 
 2.281498e-01 -1.275931e-04 
 2.284679e-01 -1.103957e-04 
 2.287859e-01 -9.301459e-05 
 2.291040e-01 -7.545952e-05 
 2.294221e-01 -5.773954e-05 
 2.297401e-01 -3.986247e-05 
 2.300582e-01 -2.183580e-05 
 2.303763e-01 -3.675411e-06 
 2.306943e-01  1.460050e-05 
 2.310124e-01  3.297641e-05 
 2.313305e-01  5.144169e-05 
 2.316485e-01  6.998827e-05 
 2.319666e-01  8.860305e-05 
 2.322847e-01  1.072697e-04 
 2.326027e-01  1.259676e-04 
 2.329208e-01  1.446787e-04 
 2.332389e-01  1.633949e-04 
 2.335569e-01  1.821127e-04 
 2.338750e-01  2.008239e-04 
 2.341931e-01  2.195187e-04 
 2.345111e-01  2.381879e-04 
 2.348292e-01  2.568183e-04 
 2.351473e-01  2.753987e-04 
 2.354653e-01  2.939264e-04 
 2.357834e-01  3.123967e-04 
 2.361015e-01  3.307977e-04 
 2.364195e-01  3.491157e-04 
 2.367376e-01  3.673449e-04 
 2.370557e-01  3.854798e-04 
 2.373737e-01  4.035231e-04 
 2.376918e-01  4.214765e-04 
 2.380099e-01  4.393348e-04 
 2.383279e-01  4.570894e-04 
 2.386460e-01  4.747305e-04 
 2.389641e-01  4.922491e-04 
 2.392821e-01  5.096360e-04 
 2.396002e-01  5.268865e-04 
