Velocity, Vel [m/s]
0.29300000,0.0392593701279699
0.29690000,0.0369630944862828
0.30080000,0.0346794256913186
0.30470000,0.0321444270068323
0.30860000,0.0290983801646773
0.31250000,0.0254051115884972
0.31640000,0.0211074418930791
0.32030000,0.0164302117922494
0.32420000,0.0117762368584737
0.32810000,0.0075388711904808
0.33210000,0.0041016331789402
0.33600000,0.0018407158349951
0.33990000,0.0008309331847475
0.34380000,0.0009174398746976
0.34770000,0.0018307703166220
0.35160000,0.0031254760203966
0.35550000,0.0042886181168844
0.35940000,0.0048247527174906
0.36330000,0.0043494788240034
0.36720000,0.0027015186350125
0.37110000,-0.0000203458181979
0.37500000,-0.0034721974238546
0.37890000,-0.0071671950284233
0.38280000,-0.0106075877596977
0.38670000,-0.0133921795997418
0.39060000,-0.0153361444840627
0.39460000,-0.0164684014409196
0.39850000,-0.0169689181132663
0.40240000,-0.0171539016212981
0.40630000,-0.0173210573592424
0.41020000,-0.0176115762421162
0.41410000,-0.0180059911593518
0.41800000,-0.0183518841227885
0.42190000,-0.0184613371023577
0.42580000,-0.0182158253928261
0.42970000,-0.0176222171708669
0.43360000,-0.0168189695760828
0.43750000,-0.0160171861010051
0.44140000,-0.0154198993568132
0.44530000,-0.0151511844379503
0.44920000,-0.0152241556175146
0.45310000,-0.0155916396849181
0.45710000,-0.0161915779457561
0.46100000,-0.0169827574014449
0.46490000,-0.0179967821980213
0.46880000,-0.0192901706651299
0.47270000,-0.0208777890848053
0.47660000,-0.0227138697403815
0.48050000,-0.0246783025601549
0.48440000,-0.0266041127386076
0.48830000,-0.0283262948324218
0.49220000,-0.0297287835555988
0.49610000,-0.0307704987266708
0.50000000,-0.0314799467523545
0.50390000,-0.0319128683496450
0.50780000,-0.0320996906989743
0.51170000,-0.0320221452853806
0.51560000,-0.0315879197070174
0.51960000,-0.0306891103498264
0.52350000,-0.0292707182149760
0.52740000,-0.0273064161793838
0.53130000,-0.0248393546940035
0.53520000,-0.0220018596146740
0.53910000,-0.0189634685006321
0.54300000,-0.0159019653898410
0.54690000,-0.0129642744048075
0.55080000,-0.0102489086968582
0.55470000,-0.0078200746133410
0.55860000,-0.0057507656723410
0.56250000,-0.0041481271743456
0.56640000,-0.0031711826459593
0.57030000,-0.0030097535821876
0.57420000,-0.0037977013112686
0.57810000,-0.0056333280280628
0.58210000,-0.0084436525724404
0.58600000,-0.0118844353363891
0.58990000,-0.0155527904612543
0.59380000,-0.0189815019522489
0.59770000,-0.0216568671119301
0.60160000,-0.0232004027551520
0.60550000,-0.0234028343168945
0.60940000,-0.0222557824256054
0.61330000,-0.0199508444635594
0.61720000,-0.0168282203356016
0.62110000,-0.0133205448828395
0.62500000,-0.0098702630373971
0.62890000,-0.0068566751252312
0.63280000,-0.0045420025890852
0.63670000,-0.0030475008638584
0.64060000,-0.0023575389004843
0.64460000,-0.0023424824651848
0.64850000,-0.0027958583944631
0.65240000,-0.0034813499528685
0.65630000,-0.0041866207665464
0.66020000,-0.0047689133066677
0.66410000,-0.0051776936770370
0.66800000,-0.0054516478270337
0.67190000,-0.0056937750313290
0.67580000,-0.0060328044255061
0.67970000,-0.0065787125248777
0.68360000,-0.0073776396345880
0.68750000,-0.0083825403000792
0.69140000,-0.0094517407996218
0.69530000,-0.0103855678316168
0.69920000,-0.0109941312115385
0.70310000,-0.0111572312881163
0.70710000,-0.0108829822175625
0.71100000,-0.0103375202863737
0.71490000,-0.0098170492421710
0.71880000,-0.0097131973207216
0.72270000,-0.0104473217250494
0.72660000,-0.0123726748638403
0.73050000,-0.0156966737234626
0.73440000,-0.0204307026925658
0.73830000,-0.0263818143271056
0.74220000,-0.0331816686741511
0.74610000,-0.0403480940347937
0.75000000,-0.0473553332542597
0.75390000,-0.0537167203195034
0.75780000,-0.0590524620243908
0.76170000,-0.0631105455605291
0.76560000,-0.0658100397004111
0.76960000,-0.0671790505816384
