         time tiltx_low_... 
 2.213077e-01  8.907958e-02 
 2.217115e-01  8.634359e-02 
 2.221153e-01  8.353491e-02 
 2.225192e-01  8.067641e-02 
 2.229230e-01  7.775878e-02 
 2.233269e-01  7.479189e-02 
 2.237307e-01  7.180579e-02 
 2.241346e-01  6.876657e-02 
 2.245384e-01  6.569215e-02 
 2.249423e-01  6.259967e-02 
 2.253461e-01  5.952595e-02 
 2.257500e-01  5.648152e-02 
 2.261538e-01  5.347036e-02 
 2.265577e-01  5.047967e-02 
 2.269615e-01  4.750524e-02 
 2.273653e-01  4.451802e-02 
 2.277692e-01  4.149889e-02 
 2.281730e-01  3.842115e-02 
 2.285769e-01  3.530841e-02 
 2.289807e-01  3.216812e-02 
 2.293846e-01  2.905320e-02 
 2.297884e-01  2.596368e-02 
 2.301923e-01  2.289422e-02 
 2.305961e-01  1.985253e-02 
 2.310000e-01  1.683571e-02 
 2.314038e-01  1.385232e-02 
 2.318077e-01  1.092061e-02 
 2.322115e-01  8.034584e-03 
 2.326153e-01  5.215930e-03 
 2.330192e-01  2.477770e-03 
 2.334230e-01 -1.251479e-04 
 2.338269e-01 -2.539168e-03 
 2.342307e-01 -4.736884e-03 
 2.346346e-01 -6.707257e-03 
 2.350384e-01 -8.462229e-03 
 2.354423e-01 -1.000066e-02 
 2.358461e-01 -1.133731e-02 
 2.362500e-01 -1.249610e-02 
 2.366538e-01 -1.349321e-02 
 2.370577e-01 -1.438869e-02 
 2.374615e-01 -1.518672e-02 
 2.378653e-01 -1.591451e-02 
 2.382692e-01 -1.657921e-02 
 2.386730e-01 -1.715405e-02 
 2.390769e-01 -1.766113e-02 
 2.394807e-01 -1.806936e-02 
 2.398846e-01 -1.832108e-02 
 2.402884e-01 -1.842115e-02 
 2.406923e-01 -1.835509e-02 
 2.410961e-01 -1.814784e-02 
 2.415000e-01 -1.785412e-02 
 2.419038e-01 -1.751548e-02 
 2.423077e-01 -1.716344e-02 
 2.427115e-01 -1.685758e-02 
 2.431153e-01 -1.666747e-02 
 2.435192e-01 -1.667759e-02 
 2.439230e-01 -1.692137e-02 
 2.443269e-01 -1.736618e-02 
 2.447307e-01 -1.802984e-02 
 2.451346e-01 -1.889443e-02 
 2.455384e-01 -1.996946e-02 
 2.459423e-01 -2.126605e-02 
 2.463461e-01 -2.277149e-02 
 2.467500e-01 -2.444269e-02 
 2.471538e-01 -2.629343e-02 
 2.475577e-01 -2.832488e-02 
 2.479615e-01 -3.051753e-02 
 2.483653e-01 -3.288445e-02 
 2.487692e-01 -3.540777e-02 
 2.491730e-01 -3.807189e-02 
 2.495769e-01 -4.085883e-02 
 2.499807e-01 -4.376396e-02 
 2.503846e-01 -4.672625e-02 
